id,address,match_type,suburb_name,sa2_code
1858,"1/14 Chesley Place, Half Moon Bay, Manukau City",containment_match,Half Moon Bay West,147800
318,"1/14 Clifton Road, Hauraki, North Shore City",containment_match,Hauraki,128800
3460,"1/14 Eban Avenue, Hillcrest, North Shore City",containment_match,Hillcrest,200200
1466,"1/14 Mahara Avenue, Birkenhead, North Shore City",containment_match,Birkenhead West,125201
1788,"1/142 Sunset Road, Unsworth Heights, North Shore City",containment_match,Unsworth Heights West,119901
3024,"1/15 Hayward Road, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
2991,"1/15 Sylvan Park Avenue, Milford, North Shore City",containment_match,Milford West,125400
3328,"1/15 Zion Road, Birkenhead, North Shore City",containment_match,Birkenhead West,125201
741,"1/16 King Edward Avenue, Papakura, Papakura",containment_match,Papakura West,162800
1725,"1/16 View Road, Mount Eden, Auckland City",containment_match,Mount Eden West,138400
3099,"1/166 & 166 Clovelly Road, Bucklands Beach, Manukau City",containment_match,Buckland,166200
3512,"1/17 Margot Street, Epsom, Auckland City",containment_match,Epsom East,141500
3747,"1/176 Chivalry Road, Glenfield, North Shore City",containment_match,Glenfield West,123100
3772,"1/18 Edwards Avenue, Henderson, Waitakere City",containment_match,Henderson West,126702
4073,"1/18 Handley Avenue, Narrow Neck, North Shore City",containment_match,Narrow Neck,130700
1078,"1/18 Riverview Road, New Lynn, Waitakere City",containment_match,New Lynn South,136501
1479,"1/180 Sandspit Road, Shelly Park, Manukau City",containment_match,Shelly Park,154300
992,"1/19 Nearco Street, Randwick Park, Manukau City",containment_match,Randwick Park East,161000
3458,"1/1A Clark Road, Pahurehure, Papakura",containment_match,Pahurehure,163100
85,"1/1A Park Avenue, Birkenhead, North Shore City",containment_match,Birkenhead West,125201
3876,"1/2 Arthur Road, Manurewa, Manukau City",containment_match,Manurewa East,160800
1462,"1/2 Enderby Drive, Te Atatu Peninsula, Waitakere City",containment_match,Te Atatū Peninsula East,125300
1386,"1/2 Flavia Close, Torbay, North Shore City",containment_match,Torbay West,117201
2347,"1/2 Marua Road, Ellerslie, Auckland City",containment_match,Ellerslie West,144201
1661,"1/2 Milford Park Place, Milford, North Shore City",containment_match,Milford West,125400
491,"1/2 New Street, Saint Marys Bay, Auckland City",containment_match,Saint Marys Bay,130200
3496,"1/2 Waipa Street, Birkenhead, North Shore City",containment_match,Birkenhead West,125201
661,"1/20 Barrie Avenue, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
1463,"1/20 Brook Street, Milford, North Shore City",containment_match,Milford West,125400
3084,"1/20 Burundi Avenue, Clendon Park, Manukau City",containment_match,Clendon Park West,159500
2768,"1/20 Dreifuss Place, Mangere East, Manukau City",containment_match,Māngere East,153301
3411,"1/20 Penning Road, Castor Bay, North Shore City",containment_match,Castor Bay North,123701
2903,"1/20 Rodney Street, Howick, Manukau City",containment_match,Howick West,150400
2233,"1/21 Campbell Road, One Tree Hill, Auckland City",containment_match,One Tree Hill Amaru,142802
1161,"1/21 Cleek Road, Mangere East, Manukau City",containment_match,Māngere East,153301
1583,"1/21 Clifton Road, Hauraki, North Shore City",containment_match,Hauraki,128800
3832,"1/21 Lupton Road, Manurewa, Manukau City",containment_match,Manurewa East,160800
2478,"1/21 Speight Road, Kohimarama, Auckland City",containment_match,Mara,233900
3948,"1/22 Cherry Tree Place, Massey, Waitakere City",containment_match,Massey West,121701
3487,"1/22 Don Croot Street, Western Springs, Auckland City",containment_match,Westmere South-Western Springs,130300
969,"1/22 Millhouse Drive, Northpark, Manukau City",containment_match,Northpark North,153700
498,"1/22 Rothesay Bay Road, Rothesay Bay, North Shore City",containment_match,Rothesay Bay,119000
3169,"1/23 Stottholm Road, Titirangi, Waitakere City",containment_match,Titirangi East,135401
2907,"1/231 Don Buck Road, Massey, Waitakere City",containment_match,Massey West,121701
3483,"1/236 Pakuranga Road, Pakuranga Heights, Manukau City",containment_match,Pakuranga Heights East,150700
1333,"1/240 Rangatira Road, Beach Haven, North Shore City",containment_match,Beach Haven West,121800
2213,"1/246 Titirangi Road, Titirangi, Waitakere City",containment_match,Titirangi East,135401
3155,"1/25 Bledisloe Street, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
368,"1/25 Mizpah Road, Waiake, North Shore City",containment_match,Waiake,117900
1711,"1/25-59 Clark Road, Hobsonville, Waitakere City",containment_match,Hobsonville,119201
923,"1/26 Alford Street, Waterview, Auckland City",containment_match,Waterview,131100
715,"1/26 Moa Road, Point Chevalier, Auckland City",containment_match,Point Chevalier West,129201
1708,"1/26 Morton Avenue, Forrest Hill, North Shore City",containment_match,Forrest Hill West,123400
2350,"1/26 Pannill Place, Oteha, North Shore City",containment_match,Oteha East,117600
891,"1/269 Titirangi Road, Titirangi, Waitakere City",containment_match,Titirangi East,135401
1666,"1/27 Birdwood Crescent, Parnell, Auckland City",containment_match,Parnell East,137400
2470,"1/28 Noeleen Street, Glenfield, North Shore City",containment_match,Glenfield West,123100
2183,"1/281 Hillsborough Road, Hillsborough, Auckland City",containment_match,Hillsborough,331400
31,"1/299 Te Taruna Drive, Milldale, Rodney",containment_match,Milldale,113401
2042,"1/29A Seaview Road, Castor Bay, North Shore City",containment_match,Castor Bay North,123701
3861,"1/3 Cross Street, Papakura, Papakura",containment_match,Papakura West,162800
3523,"1/3 Glenvar Road, Torbay, North Shore City",containment_match,Torbay West,117201
3547,"1/3 Sparrow Place, Weymouth, Manukau City",containment_match,Weymouth East,160501
3947,"1/30 Hillcrest Road, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
3829,"1/30 Rushgreen Avenue, Pahurehure, Papakura",containment_match,Pahurehure,163100
993,"1/30 Rushgreen Avenue, Papakura, Papakura",containment_match,Papakura West,162800
3755,"1/31 Eversleigh Road, Belmont, North Shore City",containment_match,Belmont,129300
1776,"1/31 Oteha Valley Road, Northcross, North Shore City",containment_match,Northcross,117700
3450,"1/33 and 2/3 Ngaiwi Street, Orakei, Auckland City",containment_match,Orakei East,140100
3786,"1/35 Rosedale Road, Pinehill, North Shore City",containment_match,Pinehill South,118502
3748,"1/4 Glen Atkinson Street, St Heliers, Auckland City",no_match,,
2327,"1/4 Glenburn Road, Hobsonville, Waitakere City",containment_match,Hobsonville,119201
4041,"1/4 Richards Avenue, Forrest Hill, North Shore City",containment_match,Forrest Hill West,123400
2121,"1/4 Tui Glen Road, Birkenhead, North Shore City",containment_match,Birkenhead West,125201
3030,"1/40 Savoy Road, Glen Eden, Waitakere City",containment_match,Glen Eden West,129600
