Suburb Name
Abbey Caves-Glenbervie
Abbotsford
Acacia Bay
Addington East
Addington North
Addington West
Ahipara
Ahuriri
Aidanfield
Aka Aka
Akaroa
Akaroa Harbour
Akatarawa
Akina Park
Akoranga
Albany Central
Albany Heights
Albany South
Albany West
Albert Town
Aldinga
Alexandra North
Alexandra South
Alfriston
Alicetown-Melling
Allandale
Allenton East
Allenton North
Allenton South
Amberley
Amuri
Andersons Bay
Aniseed Valley
Anselmi Ridge
Anzac Avenue
Aokautere
Aokautere Rural
Aongatete
Aorangi Forest
Aorere Central
Aorere North
Aorere South East
Aorere South West
Aotea
Appleby (Tasman District)
Appleby North (Invercargill City)
Appleby South (Invercargill City)
Ara Hill
Arahiwi
Arahura-Kūmara
Arakura
Aranui
Ararimu
Arataki North
Arataki South
Ardmore
Aria
Armoy
Army Bay
Aro Valley
Arrowtown
Arthur Street
Arthurs Point
Arundel
Ascot Park
Ashburton Central
Ashburton East
Ashburton Forks
Ashburton Lakes
Ashburton North
Ashburton West
Ashgrove
Ashhurst
Ashley Forest
Ashley Gorge
Ashley-Sefton
Atawhai
Athenree
Auckland Airport
Auckland-University
Avalon East
Avalon West
Avenal
Aviemore
Avondale (Christchurch City)
Avondale Central (Auckland)
Avondale North East (Auckland)
Avondale North West (Auckland)
Avondale Rosebank (Auckland)
Avondale South (Auckland)
Avondale West (Auckland)
Avonhead East
Avonhead North
Avonhead South
Avonhead West
Avonside
Awahuri
Awapuni North
Awapuni South
Awarua Plains
Awaruku
Awatea North
Awatea South
Awatere
Bader
Balcairn
Balclutha North
Balclutha South
Balgownie
Balmoral
Banks Peninsula Eastern Bays
Banks Peninsula South
Bankside
Bare Island
Barrier Islands
Barrytown
Bastia-Durie Hill
Baverstock
Bay View (Napier City)
Baypark-Kairua
Bays Waiheke Island
Bayswater
Bayview East (Auckland)
Bayview South (Auckland)
Bayview West (Auckland)
Beach Haven East
Beach Haven South
Beach Haven West
Beckenham
Beerescourt
Belfast East
Belfast West
Bell Block Central
Bell Block East-Puketapu
Bell Block West
Belleknowes
Bellevue
Belmont (Auckland)
Belmont (Lower Hutt City)
Belmont Park
Ben Cooper Park
Ben McLeod
Benhar-Stirling
Berhampore
Bethlehem Central
Bethlehem North
Bethlehem South
Bexley
Birchville-Brown Owl
Bird Area
Birdwood West
Birkdale Central
Birkdale North
Birkdale South
Birkenhead North
Birkenhead North West
Birkenhead South
Birkenhead West
Bishopdale North
Bishopdale South
Bishopdale West
Blagdon-Lynmouth
Blaketown
Bledisloe Park
Blenheim Central
Blockhouse Bay Central
Blockhouse Bay East
Blockhouse Bay North
Blockhouse Bay North East
Blockhouse Bay South
Bluff
Bluff Hill
Bombay Hills
Botany Central
Botany Downs East
Botany Downs West
Botany Junction
Boulcott
Branston
Bream Bay
Bream Head
Bremner Ridge
Brentwood (Taupo District)
Brentwood (Upper Hutt City)
Bridge Pa
Brighton
Brightwater
Britannia
Broad Bay-Portobello
Broadgreen-Monaco
Broadmeadows
Brockville
Broken Run
Bromley North
Bromley South
Brookfield East
Brookfield West
Brookhaven-Ferrymead
Brooklands-Spencerville
Brooklyn East
Brooklyn North
Brooklyn South
Brookvale
Broomfield
Browns Bay Central
Browns Bay South East
Browns Bay South West
Bruce
Brunswick-Papaiti
Bryndwr North
Bryndwr South
Buckland
Bucklands Beach Central
Bucklands Beach Murvale
Bucklands Beach North
Bucklands Beach South
Bucklands Crossing
Buller Coalfields
Bulls
Burbank
Burbush-Baverstock
Burleigh
Burlington-Oakbridge
Burnham Camp
Burnside
Burnside Park
Burnside West
Burswood
Burwood North
Burwood South
Bush Inn
Bush Road
Cairnbrae
Calton Hill
Camberley
Camborne
Cambridge Central
Cambridge East
Cambridge North
Cambridge Park-River Garden
Cambridge West
Cameron and Soldiers Park
Campbells Bay
Campus North
Campus South
Campus West
Cannons Creek East
Cannons Creek North
Cannons Creek South
Cape Hill
Cape Rodney
Cape Runaway
Cardrona
Carterton North
Carterton South
Casebrook
Cashmere East
Cashmere West
Castlecliff East
Castlecliff West
Castor Bay North
Castor Bay South
Catlins
Caversham
Centennial
Centennial Crescent
Chapel Downs
Charing Cross
Charleston (Buller District)
Charleston (Christchurch City)
Chartwell
Chatham Islands
Chatswood
Chedworth
Cheltenham
Chertsey
Christchurch Airport
Christchurch Central
Christchurch Central-East
Christchurch Central-North
Christchurch Central-South
Christchurch Central-West
Churton Park North
Churton Park South
Clarks Beach
Clarkville
Claudelands
Clearwater
Clendon Park East
Clendon Park North
Clendon Park West
Clevedon
Clifton Hill
Clifton-Kew
Clinton
Clive
Clouston Park
Clover Park East
Clover Park North
Clover Park South
Cloverlea (Auckland)
